overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,34.0,22.0,-1,4,1
2,2,QB Player 2,TEAM2,QB,34.0,22.0,5,5,1
3,3,QB Player 3,TEAM3,QB,32.4,20.4,-2,6,1
4,4,QB Player 4,TEAM4,QB,32.2,20.2,5,7,1
5,2,RB Player 2,TEAM2,RB,25.3,17.3,28,5,1
6,1,RB Player 1,TEAM1,RB,25.2,17.2,20,4,1
7,5,QB Player 5,TEAM5,QB,29.1,17.1,5,8,2
8,6,QB Player 6,TEAM6,QB,29.0,17.0,11,9,2
9,3,WR Player 3,TEAM3,WR,22.5,16.5,87,6,1
10,1,WR Player 1,TEAM1,WR,22.4,16.4,85,4,1
11,3,RB Player 3,TEAM3,RB,23.9,15.9,24,6,2
12,2,WR Player 2,TEAM2,WR,21.7,15.7,87,5,2
13,7,QB Player 7,TEAM7,QB,27.6,15.6,12,10,2
14,4,WR Player 4,TEAM4,WR,21.6,15.6,92,7,2
15,4,RB Player 4,TEAM4,RB,23.5,15.5,25,7,2
16,5,RB Player 5,TEAM5,RB,23.5,15.5,26,8,2
17,6,RB Player 6,TEAM6,RB,23.1,15.1,27,9,2
18,7,RB Player 7,TEAM7,RB,23.0,15.0,27,10,2
19,7,WR Player 7,TEAM7,WR,20.9,14.9,91,10,3
20,8,QB Player 8,TEAM8,QB,26.8,14.8,5,11,2
21,5,WR Player 5,TEAM5,WR,20.8,14.8,87,8,3
22,9,QB Player 9,TEAM9,QB,26.5,14.5,12,12,2
23,10,RB Player 10,TEAM10,RB,22.5,14.5,34,13,2
24,8,RB Player 8,TEAM8,RB,22.2,14.2,35,11,2
25,6,WR Player 6,TEAM6,WR,20.2,14.2,86,9,4
26,1,TE Player 1,TEAM1,TE,18.2,14.2,157,4,1
27,8,WR Player 8,TEAM8,WR,19.9,13.9,95,11,4
28,10,QB Player 10,TEAM10,QB,25.8,13.8,10,13,2
29,9,WR Player 9,TEAM9,WR,19.7,13.7,90,12,4
30,12,RB Player 12,TEAM12,RB,21.6,13.6,37,15,2
31,10,WR Player 10,TEAM10,WR,19.6,13.6,96,13,4
32,9,RB Player 9,TEAM9,RB,21.4,13.4,32,12,2
33,13,WR Player 13,TEAM13,WR,19.2,13.2,97,16,4
34,2,TE Player 2,TEAM2,TE,17.2,13.2,155,5,1
35,11,WR Player 11,TEAM11,WR,19.1,13.1,97,14,4
36,11,RB Player 11,TEAM11,RB,21.0,13.0,35,14,2
37,12,WR Player 12,TEAM12,WR,18.9,12.9,92,15,4
38,4,TE Player 4,TEAM4,TE,16.7,12.7,164,7,1
39,15,WR Player 15,TEAM15,WR,18.6,12.6,94,4,4
40,14,WR Player 14,TEAM14,WR,18.3,12.3,97,17,4
41,3,TE Player 3,TEAM3,TE,16.2,12.2,158,6,1
42,13,RB Player 13,TEAM13,RB,20.0,12.0,40,16,3
43,14,RB Player 14,TEAM14,RB,20.0,12.0,33,17,3
44,17,WR Player 17,TEAM17,WR,18.0,12.0,102,6,4
45,15,RB Player 15,TEAM15,RB,19.8,11.8,37,4,3
46,17,RB Player 17,TEAM17,RB,19.8,11.8,42,6,3
47,16,WR Player 16,TEAM16,WR,17.6,11.6,104,5,4
48,16,RB Player 16,TEAM16,RB,19.4,11.4,35,5,3
49,18,WR Player 18,TEAM18,WR,17.4,11.4,106,7,4
50,11,QB Player 11,TEAM11,QB,23.3,11.3,7,14,3
51,5,TE Player 5,TEAM5,TE,15.2,11.2,159,8,1
52,19,WR Player 19,TEAM19,WR,16.8,10.8,98,8,5
53,20,WR Player 20,TEAM20,WR,16.6,10.6,106,9,5
54,20,RB Player 20,TEAM20,RB,18.4,10.4,46,9,4
55,18,RB Player 18,TEAM18,RB,18.3,10.3,42,7,4
56,19,RB Player 19,TEAM19,RB,18.3,10.3,38,8,4
57,23,WR Player 23,TEAM23,WR,16.2,10.2,107,12,5
58,12,QB Player 12,TEAM12,QB,22.1,10.1,11,15,3
59,22,WR Player 22,TEAM22,WR,16.1,10.1,111,11,5
60,22,RB Player 22,TEAM22,RB,18.0,10.0,49,11,4
61,21,WR Player 21,TEAM21,WR,15.9,9.9,103,10,5
62,13,QB Player 13,TEAM13,QB,21.8,9.8,15,16,3
63,24,WR Player 24,TEAM24,WR,15.8,9.8,105,13,5
