overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,35.6,23.6,4,4,1
2,2,QB Player 2,TEAM2,QB,34.4,22.4,6,5,1
3,3,QB Player 3,TEAM3,QB,33.1,21.1,7,6,1
4,4,QB Player 4,TEAM4,QB,31.7,19.7,7,7,1
5,5,QB Player 5,TEAM5,QB,30.6,18.6,8,8,1
6,1,RB Player 1,TEAM1,RB,26.0,18.0,25,4,1
7,3,RB Player 3,TEAM3,RB,24.7,16.7,31,6,2
8,6,QB Player 6,TEAM6,QB,28.5,16.5,2,9,2
9,2,RB Player 2,TEAM2,RB,24.3,16.3,21,5,2
10,7,QB Player 7,TEAM7,QB,28.0,16.0,2,10,2
11,5,RB Player 5,TEAM5,RB,23.8,15.8,32,8,2
12,2,WR Player 2,TEAM2,WR,21.6,15.6,82,5,1
13,6,WR Player 6,TEAM6,WR,21.6,15.6,95,9,1
14,1,WR Player 1,TEAM1,WR,21.4,15.4,81,4,1
15,3,WR Player 3,TEAM3,WR,21.4,15.4,89,6,1
16,5,WR Player 5,TEAM5,WR,21.3,15.3,85,8,1
17,4,RB Player 4,TEAM4,RB,23.2,15.2,25,7,2
18,6,RB Player 6,TEAM6,RB,23.2,15.2,34,9,2
19,4,WR Player 4,TEAM4,WR,21.1,15.1,92,7,1
20,8,WR Player 8,TEAM8,WR,21.1,15.1,91,11,1
21,7,RB Player 7,TEAM7,RB,22.8,14.8,28,10,2
22,8,QB Player 8,TEAM8,QB,26.6,14.6,9,11,2
23,9,QB Player 9,TEAM9,QB,26.6,14.6,13,12,2
24,9,RB Player 9,TEAM9,RB,22.4,14.4,28,12,2
25,7,WR Player 7,TEAM7,WR,20.0,14.0,87,10,2
26,9,WR Player 9,TEAM9,WR,20.0,14.0,96,12,2
27,10,RB Player 10,TEAM10,RB,21.9,13.9,34,13,2
28,8,RB Player 8,TEAM8,RB,21.8,13.8,30,11,2
29,12,RB Player 12,TEAM12,RB,21.7,13.7,38,15,2
30,10,WR Player 10,TEAM10,WR,19.4,13.4,99,13,3
31,11,RB Player 11,TEAM11,RB,21.3,13.3,31,14,2
32,1,TE Player 1,TEAM1,TE,17.3,13.3,161,4,1
33,14,WR Player 14,TEAM14,WR,19.1,13.1,101,17,3
34,13,WR Player 13,TEAM13,WR,19.0,13.0,92,16,3
35,11,WR Player 11,TEAM11,WR,18.8,12.8,92,14,3
36,14,RB Player 14,TEAM14,RB,20.7,12.7,33,17,2
37,12,WR Player 12,TEAM12,WR,18.7,12.7,99,15,3
38,3,TE Player 3,TEAM3,TE,16.6,12.6,154,6,1
39,10,QB Player 10,TEAM10,QB,24.3,12.3,11,13,3
40,11,QB Player 11,TEAM11,QB,24.2,12.2,11,14,3
41,15,WR Player 15,TEAM15,WR,18.2,12.2,97,4,3
42,2,TE Player 2,TEAM2,TE,16.2,12.2,154,5,1
43,4,TE Player 4,TEAM4,TE,16.2,12.2,160,7,1
44,17,WR Player 17,TEAM17,WR,18.0,12.0,105,6,3
45,16,WR Player 16,TEAM16,WR,17.9,11.9,103,5,3
46,18,WR Player 18,TEAM18,WR,17.9,11.9,97,7,3
47,15,RB Player 15,TEAM15,RB,19.8,11.8,39,4,3
48,16,RB Player 16,TEAM16,RB,19.7,11.7,35,5,3
49,13,RB Player 13,TEAM13,RB,19.6,11.6,34,16,3
50,17,RB Player 17,TEAM17,RB,19.1,11.1,44,6,3
51,19,WR Player 19,TEAM19,WR,17.0,11.0,100,8,4
52,21,WR Player 21,TEAM21,WR,16.9,10.9,101,10,4
53,20,WR Player 20,TEAM20,WR,16.8,10.8,109,9,4
54,12,QB Player 12,TEAM12,QB,22.6,10.6,10,15,3
55,18,RB Player 18,TEAM18,RB,18.6,10.6,41,7,3
56,5,TE Player 5,TEAM5,TE,14.4,10.4,157,8,2
57,19,RB Player 19,TEAM19,RB,18.2,10.2,48,8,3
