overall_rank,player_name,position,team,predicted_points,raw_vor,vor,schedule_adjusted_vor
1,Kenneth Walker III,RB,SEA,210.2,153.2,229.79999999999998,231.86933868812113
2,Michael Carter,RB,ARI,57.0,0.0,0.0,0.0
3,Aaron Rodgers,QB,NYJ,,,,
4,Joe Flacco,QB,IND,,,,
5,Josh Johnson,QB,BAL,,,,
6,Matthew Stafford,QB,LA,,,,
7,Andy Dalton,QB,CAR,,,,
8,Tyrod Taylor,QB,NYJ,,,,
9,Russell Wilson,QB,PIT,,,,
10,Kirk Cousins,QB,ATL,,,,
11,Geno Smith,QB,SEA,,,,
12,Derek Carr,QB,NO,,,,
13,Jimmy Garoppolo,QB,LA,,,,
14,Jameis Winston,QB,CLE,,,,
15,Taylor Heinicke,QB,LAC,,,,
16,Marcus Mariota,QB,WAS,,,,
17,Brandon Allen,QB,SF,,,,
18,Carson Wentz,QB,KC,,,,
19,Dak Prescott,QB,DAL,,,,
20,Jared Goff,QB,DET,,,,
21,Jacoby Brissett,QB,NE,,,,
22,Nick Mullens,QB,MIN,,,,
23,Deshaun Watson,QB,CLE,,,,
24,Cooper Rush,QB,DAL,,,,
25,Mitchell Trubisky,QB,BUF,,,,
26,Patrick Mahomes,QB,KC,,,,
27,Joshua Dobbs,QB,SF,,,,
28,Tim Boyle,QB,NYG,,,,
29,Mike White,QB,BUF,,,,
30,Kyle Allen,QB,PIT,,,,
31,Mason Rudolph,QB,TEN,,,,
32,Lamar Jackson,QB,BAL,,,,
33,Baker Mayfield,QB,TB,,,,
34,Josh Allen,QB,BUF,,,,
35,Sam Darnold,QB,MIN,,,,
36,Jake Browning,QB,CIN,,,,
37,Kyler Murray,QB,ARI,,,,
38,Jarrett Stidham,QB,DEN,,,,
39,Gardner Minshew,QB,LV,,,,
40,Drew Lock,QB,NYG,,,,
41,Daniel Jones,QB,MIN,,,,
42,Tyler Huntley,QB,MIA,,,,
43,Tua Tagovailoa,QB,MIA,,,,
44,Jordan Love,QB,GB,,,,
45,Justin Herbert,QB,LAC,,,,
46,Jalen Hurts,QB,PHI,,,,
47,Joe Burrow,QB,CIN,,,,
48,Davis Mills,QB,HOU,,,,
49,Kyle Trask,QB,TB,,,,
50,Justin Fields,QB,PIT,,,,
51,Trevor Lawrence,QB,JAX,,,,
52,Mac Jones,QB,JAX,,,,
53,Trey Lance,QB,DAL,,,,
54,Sam Howell,QB,SEA,,,,
55,Chris Oladokun,QB,KC,,,,
56,Skylar Thompson,QB,MIA,,,,
57,Brock Purdy,QB,SF,,,,
58,Kenny Pickett,QB,PHI,,,,
59,Bailey Zappe,QB,CLE,,,,
60,Desmond Ridder,QB,LV,,,,
61,Malik Willis,QB,GB,,,,
62,Tanner McKee,QB,PHI,,,,
63,Tyson Bagent,QB,CHI,,,,
64,Tommy DeVito,QB,NYG,,,,
65,Hendon Hooker,QB,DET,,,,
66,Aidan O'Connell,QB,LV,,,,
67,Clayton Tune,QB,ARI,,,,
68,Dorian Thompson-Robinson,QB,CLE,,,,
69,Jake Haener,QB,NO,,,,
70,Bryce Young,QB,CAR,,,,
71,Will Levis,QB,TEN,,,,
72,C.J. Stroud,QB,HOU,,,,
73,Anthony Richardson,QB,IND,,,,
74,Spencer Rattler,QB,NO,,,,
75,Joe Milton III,QB,NE,,,,
76,Bo Nix,QB,DEN,,,,
77,Drake Maye,QB,NE,,,,
78,Jayden Daniels,QB,WAS,,,,
79,Michael Penix Jr.,QB,ATL,,,,
80,Caleb Williams,QB,CHI,,,,
81,Nelson Agholor,WR,BAL,,,,
82,DeAndre Carter,WR,CHI,,,,
83,Jamison Crowder,WR,WAS,,,,
84,Tyler Lockett,WR,SEA,,,,
85,Robbie Chosen,WR,MIA,,,,
86,Demarcus Robinson,WR,LA,,,,
87,Trent Taylor,WR,SF,,,,
88,Kendrick Bourne,WR,NE,,,,
89,Tim Patrick,WR,DET,,,,
90,Mack Hollins,WR,BUF,,,,
91,David Moore,WR,CAR,,,,
92,JuJu Smith-Schuster,WR,KC,,,,
93,Josh Reynolds,WR,JAX,,,,
94,Marquez Valdes-Scantling,WR,NO,,,,
95,Anthony Miller,WR,BAL,,,,
96,Ray-Ray McCloud,WR,ATL,,,,
97,Braxton Berrios,WR,MIA,,,,
98,Christian Kirk,WR,JAX,,,,
99,DJ Chark,WR,LAC,,,,
100,Calvin Ridley,WR,TEN,,,,
101,Steven Sims,WR,BAL,,,,
102,Jakobi Meyers,WR,LV,,,,
103,Tom Kennedy,WR,DET,,,,
104,Parris Campbell,WR,PHI,,,,
105,Terry McLaurin,WR,WAS,,,,
106,Deebo Samuel Sr.,WR,SF,,,,
107,James Proche,WR,CLE,,,,
108,Mason Kinsey,WR,TEN,,,,
109,Gabe Davis,WR,JAX,,,,
110,Collin Johnson,WR,CHI,,,,
111,Jauan Jennings,WR,SF,,,,
112,Justin Jefferson,WR,MIN,,,,
113,Tee Higgins,WR,CIN,,,,
114,DJ Turner,WR,LV,,,,
115,Rashod Bateman,WR,BAL,,,,
116,Dee Eskridge,WR,MIA,,,,
117,Simi Fehoko,WR,LAC,,,,
118,Terrace Marshall Jr.,WR,LV,,,,
119,Amon-Ra St. Brown,WR,DET,,,,
120,Josh Palmer,WR,LAC,,,,
121,Irvin Charles,WR,NYJ,,,,
122,Kevin Austin Jr.,WR,NO,,,,
123,Drake London,WR,ATL,,,,
124,Chris Olave,WR,NO,,,,
125,Jameson Williams,WR,DET,,,,
126,George Pickens,WR,PIT,,,,
127,Jalen Nailor,WR,MIN,,,,
128,Brandon Johnson,WR,PIT,,,,
129,Kendric Pryor,WR,CIN,,,,
130,John Metchie III,WR,HOU,,,,
131,Garrett Wilson,WR,NYJ,,,,
132,Treylon Burks,WR,TEN,,,,
133,Calvin Austin III,WR,PIT,,,,
134,Erik Ezukanma,WR,MIA,,,,
135,Wan'Dale Robinson,WR,NYG,,,,
136,Malik Heath,WR,GB,,,,
137,Grant DuBose,WR,MIA,,,,
138,Nikko Remigio,WR,KC,,,,
139,Jaxon Smith-Njigba,WR,SEA,,,,
140,Andrei Iosivas,WR,CIN,,,,
141,Jalen Brooks,WR,DAL,,,,
142,Ronnie Bell,WR,SF,,,,
143,Tyrell Shavers,WR,BUF,,,,
144,Jake Bobo,WR,SEA,,,,
145,Ryan Miller,WR,TB,,,,
146,Marvin Mims Jr.,WR,DEN,,,,
147,Jordan Addison,WR,MIN,,,,
148,Josh Downs,WR,IND,,,,
149,Jonathan Mingo,WR,DAL,,,,
150,Zay Flowers,WR,BAL,,,,
151,Rashee Rice,WR,KC,,,,
152,Luke McCaffrey,WR,WAS,,,,
153,Bub Means,WR,NO,,,,
154,Ryan Flournoy,WR,DAL,,,,
155,Xavier Weaver,WR,ARI,,,,
156,Jermaine Jackson,WR,NO,,,,
157,Mason Tipton,WR,NO,,,,
158,Bryce Oliver,WR,TEN,,,,
159,Ainias Smith,WR,PHI,,,,
160,Devontez Walker,WR,BAL,,,,
161,Troy Franklin,WR,DEN,,,,
162,Malik Washington,WR,MIA,,,,
163,Adonai Mitchell,WR,IND,,,,
164,Brian Thomas Jr.,WR,JAX,,,,
165,Keon Coleman,WR,BUF,,,,
166,Rome Odunze,WR,CHI,,,,
167,Malachi Corley,WR,NYJ,,,,
168,Zach Ertz,TE,WAS,,,,
169,Tyler Higbee,TE,LA,,,,
170,George Kittle,TE,SF,,,,
171,Gerald Everett,TE,CHI,,,,
172,Jordan Akins,TE,CLE,,,,
173,Mark Andrews,TE,BAL,,,,
174,Foster Moreau,TE,NO,,,,
175,Dawson Knox,TE,BUF,,,,
176,Cole Kmet,TE,CHI,,,,
177,Josiah Deguara,TE,JAX,,,,
178,Brock Wright,TE,DET,,,,
179,Kylen Granson,TE,IND,,,,
180,Pat Freiermuth,TE,PIT,,,,
181,Kyle Pitts,TE,ATL,,,,
182,Grant Calcaterra,TE,PHI,,,,
183,Stone Smartt,TE,LAC,,,,
184,Tucker Fisk,TE,LAC,,,,
185,Daniel Bellinger,TE,NYG,,,,
186,Brayden Willis,TE,SF,,,,
187,Nate Adkins,TE,DEN,,,,
188,Ben Sims,TE,GB,,,,
189,Brenton Strange,TE,JAX,,,,
190,Jaheim Bell,TE,NE,,,,
191,Brevyn Spann-Ford,TE,DAL,,,,
192,Tip Reiman,TE,ARI,,,,
193,Erick All,TE,CIN,,,,
194,Theo Johnson,TE,NYG,,,,
195,Ben Sinnott,TE,WAS,,,,
