overall_rank,player_name,position,team,predicted_points,raw_vor,vor,schedule_adjusted_vor
1,Justin Jefferson,WR,MIN,337.6,183.90000000000003,220.68000000000004,225.1395734267585
2,Drake London,WR,ATL,314.1,160.40000000000003,192.48000000000005,196.95075501330416
3,Brian Thomas Jr.,WR,JAX,315.7,162.0,194.4,195.28616181492796
4,Amon-Ra St. Brown,WR,DET,319.3,165.60000000000002,198.72000000000003,191.9828516459546
5,George Kittle,TE,SF,203.4,123.2,147.84,142.92392007595345
6,Terry McLaurin,WR,WAS,268.4,114.69999999999999,137.64,138.2970446947154
7,Mark Andrews,TE,BAL,191.8,111.60000000000001,133.92000000000002,126.87499456972918
8,Joe Burrow,QB,CIN,450.0,123.10000000000002,110.79000000000002,108.09844011104829
9,Lamar Jackson,QB,BAL,447.7,120.80000000000001,108.72000000000001,105.28030055018297
10,Garrett Wilson,WR,NYJ,242.4,88.70000000000002,106.44000000000001,104.2318401995905
11,Jaxon Smith-Njigba,WR,SEA,236.1,82.4,98.88000000000001,94.79179835722196
12,Baker Mayfield,QB,TB,424.6,97.70000000000005,87.93000000000005,88.24588816368788
13,Jared Goff,QB,DET,422.7,95.80000000000001,86.22000000000001,82.21279561383703
14,Sam Darnold,QB,MIN,414.4,87.5,78.75,73.31413980436582
15,Pat Freiermuth,TE,PIT,146.6,66.39999999999999,79.67999999999999,71.53835701947479
16,Tee Higgins,WR,CIN,210.8,57.10000000000002,68.52000000000002,68.60993248134712
17,Bo Nix,QB,DEN,403.6,76.70000000000005,69.03000000000004,65.20969215436371
18,Zach Ertz,TE,WAS,140.2,59.999999999999986,71.99999999999999,62.92413377060564
19,Zay Flowers,WR,BAL,204.7,51.0,61.199999999999996,61.48483031308024
20,Jameson Williams,WR,DET,202.8,49.10000000000002,58.92000000000002,56.92245178633076
21,Kyle Pitts,TE,ATL,127.1,46.89999999999999,56.27999999999999,54.899573938635605
22,Calvin Ridley,WR,TEN,197.2,43.5,52.199999999999996,52.62611168365
23,Jauan Jennings,WR,SF,196.5,42.80000000000001,51.360000000000014,50.380472466247454
24,Jordan Addison,WR,MIN,193.7,40.0,48.0,48.96999965780499
25,Josh Allen,QB,BUF,380.1,53.200000000000045,47.880000000000045,47.0812328300603
26,Aaron Rodgers,QB,NYJ,376.6,49.700000000000045,44.73000000000004,43.817666293836474
27,Demarcus Robinson,WR,LA,185.2,31.5,37.8,37.60489689865782
28,Andrei Iosivas,WR,CIN,181.8,28.100000000000023,33.72000000000003,33.764257490820576
29,Jakobi Meyers,WR,LV,179.2,25.5,30.599999999999998,30.732903293017337
30,Rashod Bateman,WR,BAL,179.0,25.30000000000001,30.360000000000014,30.501298174920215
31,Marvin Mims Jr.,WR,DEN,176.8,23.100000000000023,27.720000000000027,27.23176168449367
32,Foster Moreau,TE,NO,101.0,20.799999999999997,24.959999999999997,24.52596335384747
33,Ray-Ray McCloud,WR,ATL,172.4,18.700000000000017,22.44000000000002,22.96121645105231
34,Kenneth Walker III,RB,SEA,95.7,14.900000000000006,22.35000000000001,22.55126074708229
35,Cole Kmet,TE,CHI,99.8,19.599999999999994,23.519999999999992,22.167041779190335
36,Jayden Daniels,QB,WAS,351.1,24.200000000000045,21.78000000000004,20.85008503194848
37,Keon Coleman,WR,BUF,168.6,14.900000000000006,17.880000000000006,18.2057328075358
38,Jordan Akins,TE,CLE,96.3,16.099999999999994,19.319999999999993,17.53438276671817
39,Kyler Murray,QB,ARI,345.1,18.200000000000045,16.38000000000004,16.445147466263407
40,Marquez Valdes-Scantling,WR,NO,166.7,13.0,15.6,16.002162312556955
41,Geno Smith,QB,SEA,343.5,16.600000000000023,14.94000000000002,14.54880219084678
42,Rome Odunze,WR,CHI,165.5,11.800000000000011,14.160000000000013,14.091484625389974
43,Jalen Nailor,WR,MIN,165.0,11.300000000000011,13.560000000000013,13.834024903329924
44,Brenton Strange,TE,JAX,91.0,10.799999999999997,12.959999999999996,12.325510950680215
45,Wan'Dale Robinson,WR,NYG,163.9,10.200000000000017,12.24000000000002,12.235358374684159
46,Calvin Austin III,WR,PIT,163.6,9.900000000000006,11.880000000000006,11.524248459810476
47,Tyler Lockett,WR,SEA,162.9,9.200000000000017,11.04000000000002,10.583550302019946
48,Adonai Mitchell,WR,IND,161.0,7.300000000000011,8.760000000000014,8.944775033321745
49,Mack Hollins,WR,BUF,160.8,7.100000000000023,8.520000000000026,8.675214961980169
50,Justin Herbert,QB,LAC,336.9,10.0,9.0,8.558676011083696
51,Nate Adkins,TE,DEN,87.0,6.799999999999997,8.159999999999997,7.877007829297783
52,Grant Calcaterra,TE,PHI,84.1,3.8999999999999915,4.67999999999999,4.521036496299448
53,Josh Downs,WR,IND,156.8,3.1000000000000227,3.7200000000000273,3.798466110040763
54,Brock Wright,TE,DET,80.7,0.5,0.6,0.552350850178555
55,Michael Carter,RB,ARI,80.8,0.0,0.0,0.0
56,Nelson Agholor,WR,BAL,153.7,0.0,0.0,0.0
57,Gerald Everett,TE,CHI,80.2,0.0,0.0,0.0
58,Caleb Williams,QB,CHI,326.9,0.0,0.0,0.0
59,George Pickens,WR,PIT,153.0,-0.6999999999999886,-0.8399999999999863,-0.8148458506936563
60,Theo Johnson,TE,NYG,79.2,-1.0,-1.2,-1.136967892064774
61,Dawson Knox,TE,BUF,78.6,-1.6000000000000085,-1.9200000000000101,-1.6901600053023353
62,Patrick Mahomes,QB,KC,324.7,-2.1999999999999886,-1.9799999999999898,-1.9733671698764765
63,Kylen Granson,TE,IND,78.0,-2.200000000000003,-2.6400000000000032,-2.4686634072981195
64,Troy Franklin,WR,DEN,149.8,-3.8999999999999773,-4.679999999999972,-4.597570154524873
65,Erick All,TE,CIN,73.5,-6.700000000000003,-8.040000000000003,-7.969700443879055
66,C.J. Stroud,QB,HOU,315.9,-11.0,-9.9,-9.935400085217662
67,Tim Patrick,WR,DET,144.1,-9.599999999999994,-11.519999999999992,-11.129440675127794
68,Luke McCaffrey,WR,WAS,142.7,-11.0,-13.2,-13.26301213288465
69,Kendrick Bourne,WR,NE,142.5,-11.199999999999989,-13.439999999999985,-13.393688060656467
70,Deebo Samuel Sr.,WR,SF,142.3,-11.399999999999977,-13.679999999999973,-13.419097806430365
71,Jalen Brooks,WR,DAL,142.7,-11.0,-13.2,-13.671986908646739
72,Josh Palmer,WR,LAC,140.2,-13.5,-16.2,-16.262807007973127
73,Daniel Bellinger,TE,NYG,64.4,-15.799999999999997,-18.959999999999997,-17.96409269462343
74,Malik Washington,WR,MIA,138.3,-15.399999999999977,-18.479999999999972,-18.31745066181568
75,Stone Smartt,TE,LAC,64.3,-15.900000000000006,-19.080000000000005,-18.71643161002518
76,Tucker Fisk,TE,LAC,64.3,-15.900000000000006,-19.080000000000005,-18.71643161002518
