overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,34.8,22.8,-4,4,1
2,2,QB Player 2,TEAM2,QB,33.8,21.8,-1,5,1
3,3,QB Player 3,TEAM3,QB,32.2,20.2,6,6,1
4,4,QB Player 4,TEAM4,QB,31.7,19.7,1,7,1
5,5,QB Player 5,TEAM5,QB,30.5,18.5,10,8,1
6,1,RB Player 1,TEAM1,RB,25.4,17.4,27,4,1
7,6,QB Player 6,TEAM6,QB,29.0,17.0,11,9,1
8,7,QB Player 7,TEAM7,QB,28.4,16.4,9,10,1
9,1,WR Player 1,TEAM1,WR,22.1,16.1,86,4,1
10,3,RB Player 3,TEAM3,RB,24.0,16.0,32,6,2
11,2,WR Player 2,TEAM2,WR,22.0,16.0,83,5,1
12,2,RB Player 2,TEAM2,RB,23.8,15.8,26,5,2
13,5,RB Player 5,TEAM5,RB,23.8,15.8,26,8,2
14,8,QB Player 8,TEAM8,QB,27.6,15.6,5,11,1
15,7,RB Player 7,TEAM7,RB,23.4,15.4,27,10,2
16,4,RB Player 4,TEAM4,RB,23.3,15.3,31,7,2
17,3,WR Player 3,TEAM3,WR,21.2,15.2,86,6,2
18,9,RB Player 9,TEAM9,RB,23.0,15.0,28,12,2
19,4,WR Player 4,TEAM4,WR,20.9,14.9,87,7,2
20,5,WR Player 5,TEAM5,WR,20.9,14.9,94,8,2
21,7,WR Player 7,TEAM7,WR,20.9,14.9,95,10,2
22,6,RB Player 6,TEAM6,RB,22.5,14.5,35,9,2
23,10,WR Player 10,TEAM10,WR,20.3,14.3,91,13,3
24,12,WR Player 12,TEAM12,WR,20.3,14.3,100,15,3
25,8,RB Player 8,TEAM8,RB,22.2,14.2,27,11,2
26,6,WR Player 6,TEAM6,WR,20.2,14.2,91,9,3
27,9,QB Player 9,TEAM9,QB,25.9,13.9,12,12,2
28,8,WR Player 8,TEAM8,WR,19.7,13.7,97,11,3
29,11,RB Player 11,TEAM11,RB,21.6,13.6,33,14,2
30,1,TE Player 1,TEAM1,TE,17.6,13.6,152,4,1
31,10,RB Player 10,TEAM10,RB,21.4,13.4,34,13,2
32,9,WR Player 9,TEAM9,WR,19.4,13.4,91,12,3
33,12,RB Player 12,TEAM12,RB,21.2,13.2,38,15,2
34,2,TE Player 2,TEAM2,TE,17.2,13.2,155,5,1
35,10,QB Player 10,TEAM10,QB,25.1,13.1,9,13,2
36,11,WR Player 11,TEAM11,WR,19.0,13.0,100,14,3
37,13,RB Player 13,TEAM13,RB,20.6,12.6,32,16,2
38,14,WR Player 14,TEAM14,WR,18.6,12.6,94,17,3
39,3,TE Player 3,TEAM3,TE,16.6,12.6,162,6,1
40,16,WR Player 16,TEAM16,WR,18.5,12.5,105,5,3
41,13,WR Player 13,TEAM13,WR,18.2,12.2,101,16,3
42,15,RB Player 15,TEAM15,RB,19.9,11.9,35,4,3
43,21,WR Player 21,TEAM21,WR,17.8,11.8,105,10,3
44,18,WR Player 18,TEAM18,WR,17.7,11.7,98,7,3
45,14,RB Player 14,TEAM14,RB,19.5,11.5,38,17,3
46,17,WR Player 17,TEAM17,WR,17.4,11.4,96,6,3
47,16,RB Player 16,TEAM16,RB,19.3,11.3,45,5,3
48,15,WR Player 15,TEAM15,WR,17.2,11.2,100,4,3
49,4,TE Player 4,TEAM4,TE,15.1,11.1,160,7,2
50,19,WR Player 19,TEAM19,WR,16.9,10.9,100,8,3
51,12,QB Player 12,TEAM12,QB,22.8,10.8,16,15,3
52,20,RB Player 20,TEAM20,RB,18.8,10.8,47,9,3
53,11,QB Player 11,TEAM11,QB,22.7,10.7,13,14,3
54,17,RB Player 17,TEAM17,RB,18.7,10.7,46,6,3
55,22,WR Player 22,TEAM22,WR,16.7,10.7,107,11,3
56,20,WR Player 20,TEAM20,WR,16.6,10.6,105,9,3
57,23,WR Player 23,TEAM23,WR,16.6,10.6,102,12,3
58,5,TE Player 5,TEAM5,TE,14.5,10.5,166,8,2
59,18,RB Player 18,TEAM18,RB,18.4,10.4,37,7,3
60,19,RB Player 19,TEAM19,RB,18.3,10.3,41,8,3
61,21,RB Player 21,TEAM21,RB,18.0,10.0,44,10,3
62,6,TE Player 6,TEAM6,TE,13.9,9.9,161,9,2
63,13,QB Player 13,TEAM13,QB,21.5,9.5,13,16,3
64,24,WR Player 24,TEAM24,WR,15.5,9.5,105,13,4
65,24,RB Player 24,TEAM24,RB,17.4,9.4,44,13,3
66,22,RB Player 22,TEAM22,RB,17.2,9.2,47,11,3
67,23,RB Player 23,TEAM23,RB,17.2,9.2,43,12,3
68,25,WR Player 25,TEAM25,WR,15.1,9.1,113,14,4
69,26,WR Player 26,TEAM26,WR,15.0,9.0,114,15,4
70,7,TE Player 7,TEAM7,TE,12.5,8.5,167,10,2
71,8,TE Player 8,TEAM8,TE,12.4,8.4,162,11,2
72,25,RB Player 25,TEAM25,RB,16.3,8.3,50,14,4
73,27,WR Player 27,TEAM27,WR,14.3,8.3,107,16,5
74,28,WR Player 28,TEAM28,WR,14.2,8.2,113,17,5
75,29,WR Player 29,TEAM29,WR,14.2,8.2,108,4,5
76,27,RB Player 27,TEAM27,RB,16.1,8.1,50,16,4
77,33,WR Player 33,TEAM1,WR,14.1,8.1,114,8,5
78,14,QB Player 14,TEAM14,QB,20.0,8.0,17,17,3
79,26,RB Player 26,TEAM26,RB,15.8,7.8,55,15,4
80,9,TE Player 9,TEAM9,TE,11.8,7.8,168,12,2
81,30,WR Player 30,TEAM30,WR,13.7,7.7,110,5,5
82,32,WR Player 32,TEAM32,WR,13.7,7.7,117,7,5
83,30,RB Player 30,TEAM30,RB,15.1,7.1,55,5,5
84,31,WR Player 31,TEAM31,WR,13.0,7.0,116,6,6
85,35,WR Player 35,TEAM3,WR,13.0,7.0,118,10,6
86,28,RB Player 28,TEAM28,RB,14.9,6.9,52,17,5
87,29,RB Player 29,TEAM29,RB,14.9,6.9,58,4,5
88,34,WR Player 34,TEAM2,WR,12.8,6.8,123,9,6
89,15,QB Player 15,TEAM15,QB,18.6,6.6,13,4,3
90,16,QB Player 16,TEAM16,QB,18.3,6.3,21,5,3
91,10,TE Player 10,TEAM10,TE,10.2,6.2,161,13,3
92,33,RB Player 33,TEAM1,RB,14.1,6.1,55,8,6
93,37,WR Player 37,TEAM5,WR,11.7,5.7,124,12,7
94,38,WR Player 38,TEAM6,WR,11.7,5.7,120,13,7
95,41,WR Player 41,TEAM9,WR,11.6,5.6,121,16,7
96,32,RB Player 32,TEAM32,RB,13.5,5.5,55,7,6
97,39,WR Player 39,TEAM7,WR,11.4,5.4,127,14,7
98,11,TE Player 11,TEAM11,TE,9.4,5.4,162,14,3
99,36,WR Player 36,TEAM4,WR,11.1,5.1,122,11,7
100,31,RB Player 31,TEAM31,RB,13.0,5.0,50,6,6
101,42,WR Player 42,TEAM10,WR,11.0,5.0,127,17,7
102,12,TE Player 12,TEAM12,TE,9.0,5.0,163,15,3
103,40,WR Player 40,TEAM8,WR,10.9,4.9,126,15,7
