player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,wr_tier,te_tier,qb_tier,rb_tier
00-0036900,Ja'Marr Chase,CIN,WR,11.756118381233321,4.84909350282334,1,False,1,25,7,-1,4.85,1.0,1,1,3.0,,,
00-0036322,Justin Jefferson,MIN,WR,11.577505592546634,4.670480714136653,2,False,2,25,7,-1,4.67,1.0,2,2,3.0,,,
00-0033288,George Kittle,SF,TE,8.974526624975471,3.845451369925608,1,False,1,25,7,-1,4.23,1.1,3,3,,3.0,,
00-0039893,Brian Thomas Jr.,JAX,WR,10.710105710874934,3.8030808324649534,3,False,3,25,7,-1,3.8,1.0,4,4,3.0,,,
00-0036963,Amon-Ra St. Brown,DET,WR,10.443714680281815,3.536689801871834,4,False,4,25,7,-1,3.54,1.0,5,5,3.0,,,
00-0039338,Brock Bowers,LV,TE,8.384375666584404,3.2553004115345407,2,False,2,25,7,-1,3.58,1.1,6,5,,3.0,,
00-0037744,Trey McBride,ARI,TE,8.229600245768832,3.100524990718969,3,False,2,25,7,-1,3.41,1.1,7,6,,3.0,,
00-0034796,Lamar Jackson,BAL,QB,20.125242936888252,3.0913197350838786,1,False,1,25,7,-1,2.47,0.8,8,8,,,4.0,
00-0039337,Malik Nabers,NYG,WR,9.942324832543825,3.035299954133844,5,False,5,25,7,-1,3.04,1.0,9,8,3.0,,,
00-0037238,Drake London,ATL,WR,9.932970054869736,3.0259451764597554,6,False,5,25,7,-1,3.03,1.0,10,8,3.0,,,
00-0039915,Ladd McConkey,LAC,WR,9.597553071315266,2.690528192905285,7,False,6,25,7,-1,2.69,1.0,11,8,4.0,,,
00-0039040,De'Von Achane,MIA,RB,7.3324903999294575,2.6855762481053054,1,False,1,25,7,-1,3.22,1.2,12,7,,,,4.0
00-0039139,Jahmyr Gibbs,DET,RB,7.311324888837444,2.6644107370132915,2,False,1,25,7,-1,3.2,1.2,13,7,,,,4.0
00-0036358,CeeDee Lamb,DAL,WR,9.570804736209741,2.66377985779976,8,False,6,25,7,-1,2.66,1.0,14,8,4.0,,,
00-0033858,Jonnu Smith,MIA,TE,7.716428156708061,2.587352901658198,4,False,3,25,7,-1,2.85,1.1,15,8,,3.0,,
00-0038542,Bijan Robinson,ATL,RB,7.2040243342273875,2.5571101824032354,3,False,2,25,7,-1,3.07,1.2,16,8,,,,4.0
00-0035659,Terry McLaurin,WAS,WR,9.462372505475614,2.5553476270656326,9,False,6,25,7,-1,2.56,1.0,17,8,4.0,,,
00-0038996,Tucker Kraft,GB,TE,7.626793557694913,2.4977183026450493,5,False,3,25,7,-1,2.75,1.1,18,8,,3.0,,
00-0039065,Sam LaPorta,DET,TE,7.4121091567246085,2.283033901674745,6,False,4,25,7,-1,2.51,1.1,19,8,,3.0,,
00-0039361,Bucky Irving,TB,RB,6.8882123785452105,2.2412982267210584,4,False,3,25,7,-1,2.69,1.2,20,8,,,,4.0
00-0039075,Puka Nacua,LA,WR,9.109463832282334,2.2024389538723526,10,False,7,25,7,-1,2.2,1.0,21,8,4.0,,,
00-0034753,Mark Andrews,BAL,TE,7.277815746816096,2.148740491766233,7,False,4,25,7,-1,2.36,1.1,22,8,,3.0,,
00-0038543,Jaxon Smith-Njigba,SEA,WR,9.047244007927615,2.140219129517634,11,False,7,25,7,-1,2.14,1.0,23,8,4.0,,,
00-0032764,Derrick Henry,BAL,RB,6.784212110717388,2.137297958893236,5,False,3,25,7,-1,2.56,1.2,24,8,,,,4.0
00-0038994,Jordan Addison,MIN,WR,9.025467213658175,2.1184423352481936,12,False,7,25,7,-1,2.12,1.0,25,8,4.0,,,
00-0036407,Jerry Jeudy,CLE,WR,9.018615522273155,2.111590643863174,13,False,7,25,7,-1,2.11,1.0,26,8,4.0,,,
00-0039910,Jayden Daniels,WAS,QB,19.106459665170703,2.0725364633663297,2,False,2,25,7,-1,1.66,0.8,27,8,,,4.0,
00-0034844,Saquon Barkley,PHI,RB,6.705213827832066,2.0582996760079135,6,False,3,25,7,-1,2.47,1.2,28,8,,,,4.0
00-0034857,Josh Allen,BUF,QB,19.052876609422068,2.018953407617694,3,False,2,25,7,-1,1.62,0.8,29,8,,,4.0,
00-0035676,A.J. Brown,PHI,WR,8.917909304724152,2.0108844263141705,14,False,7,25,7,-1,2.01,1.0,30,8,4.0,,,
00-0033906,Alvin Kamara,NO,RB,6.637347509765132,1.9904333579409803,7,False,3,25,7,-1,2.39,1.2,31,8,,,,4.0
00-0036554,Nico Collins,HOU,WR,8.830416823096055,1.9233919446860739,15,False,7,25,7,-1,1.92,1.0,32,8,4.0,,,
00-0034827,DJ Moore,CHI,WR,8.78817122656465,1.8811463481546689,16,False,7,25,7,-1,1.88,1.0,33,8,4.0,,,
00-0039064,Zay Flowers,BAL,WR,8.785896249692655,1.8788713712826741,17,False,7,25,7,-1,1.88,1.0,34,8,4.0,,,
00-0035700,Josh Jacobs,GB,RB,6.506884035963155,1.8599698841390024,8,False,4,25,7,-1,2.23,1.2,35,8,,,,4.0
00-0036158,J.K. Dobbins,LAC,RB,6.500666048141266,1.8537518963171138,9,False,4,25,7,-1,2.22,1.2,36,8,,,,4.0
00-0036410,Tee Higgins,CIN,WR,8.704642038819447,1.797617160409466,18,False,7,25,7,-1,1.8,1.0,37,8,4.0,,,
00-0035685,David Montgomery,DET,RB,6.435109904941894,1.7881957531177415,10,False,4,25,7,-1,2.15,1.2,38,8,,,,4.0
00-0038120,Breece Hall,NYJ,RB,6.420203548219832,1.77328939639568,11,False,4,25,7,-1,2.13,1.2,39,8,,,,4.0
00-0037248,James Cook,BUF,RB,6.372941542866502,1.7260273910423498,12,False,4,25,7,-1,2.07,1.2,40,8,,,,4.0
00-0034348,Courtland Sutton,DEN,WR,8.631979203690662,1.724954325280681,19,False,7,25,7,-1,1.72,1.0,41,8,4.0,,,
00-0034855,Baker Mayfield,TB,QB,18.75860203899667,1.7246788371922968,4,False,2,25,7,-1,1.38,0.8,42,8,,,4.0,
00-0033553,James Conner,ARI,RB,6.368745560651341,1.7218314088271889,13,False,4,25,7,-1,2.07,1.2,43,8,,,,4.0
00-0037240,Jameson Williams,DET,WR,8.565704009097995,1.6586791306880144,20,False,7,25,7,-1,1.66,1.0,44,8,4.0,,,
00-0037840,Kyren Williams,LA,RB,6.301986925726627,1.655072773902475,14,False,4,25,7,-1,1.99,1.2,45,8,,,,4.0
00-0037740,Garrett Wilson,NYJ,WR,8.544327734209979,1.637302855799998,21,False,7,25,7,-1,1.64,1.0,46,8,4.0,,,
00-0038597,Chase Brown,CIN,RB,6.265708148790627,1.6187939969664749,15,False,4,25,7,-1,1.94,1.2,47,8,,,,4.0
00-0033293,Aaron Jones,MIN,RB,6.253207014142363,1.6062928623182104,16,False,4,25,7,-1,1.93,1.2,48,8,,,,4.0
00-0031408,Mike Evans,TB,WR,8.509196088360476,1.6021712099504946,22,False,7,25,7,-1,1.6,1.0,49,8,4.0,,,
00-0039732,Bo Nix,DEN,QB,18.56707188854323,1.5331486867388548,5,False,2,25,7,-1,1.23,0.8,50,8,,,4.0,
00-0036555,Chuba Hubbard,CAR,RB,6.177341494261629,1.530427342437477,17,False,4,25,7,-1,1.84,1.2,51,8,,,,4.0
00-0036875,Rhamondre Stevenson,NE,RB,6.173699593737491,1.526785441913339,18,False,4,25,7,-1,1.83,1.2,52,8,,,,4.0
00-0033040,Tyreek Hill,MIA,WR,8.41104171754068,1.5040168391306992,23,False,7,25,7,-1,1.5,1.0,53,8,4.0,,,
00-0031381,Davante Adams,NYJ,WR,8.376025641834024,1.4690007634240434,24,False,7,25,7,-1,1.47,1.0,54,8,4.0,,,
00-0030506,Travis Kelce,KC,TE,6.5887013679869595,1.4596261129370962,8,False,5,25,7,-1,1.61,1.1,55,8,,4.0,,
00-0037746,Brian Robinson,WAS,RB,6.078003059914441,1.431088908090289,19,False,4,25,7,-1,1.72,1.2,56,8,,,,4.0
00-0034960,Jakobi Meyers,LV,WR,8.281492084226318,1.3744672058163374,25,False,7,25,7,-1,1.37,1.0,57,8,4.0,,,
