overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,35.7,23.7,-4,4,1
2,2,QB Player 2,TEAM2,QB,33.9,21.9,0,5,2
3,3,QB Player 3,TEAM3,QB,32.4,20.4,0,6,2
4,4,QB Player 4,TEAM4,QB,31.9,19.9,9,7,2
5,5,QB Player 5,TEAM5,QB,29.7,17.7,7,8,3
6,6,QB Player 6,TEAM6,QB,29.7,17.7,1,9,3
7,1,RB Player 1,TEAM1,RB,25.7,17.7,27,4,1
8,2,RB Player 2,TEAM2,RB,25.0,17.0,21,5,1
9,3,RB Player 3,TEAM3,RB,24.2,16.2,26,6,2
10,4,RB Player 4,TEAM4,RB,24.1,16.1,33,7,2
11,7,QB Player 7,TEAM7,QB,27.8,15.8,9,10,4
12,3,WR Player 3,TEAM3,WR,21.7,15.7,82,6,1
13,2,WR Player 2,TEAM2,WR,21.6,15.6,81,5,1
14,4,WR Player 4,TEAM4,WR,21.6,15.6,90,7,1
15,8,QB Player 8,TEAM8,QB,27.3,15.3,10,11,4
16,1,WR Player 1,TEAM1,WR,21.2,15.2,80,4,1
17,7,RB Player 7,TEAM7,RB,23.0,15.0,29,10,3
18,5,RB Player 5,TEAM5,RB,22.8,14.8,26,8,3
19,5,WR Player 5,TEAM5,WR,20.6,14.6,93,8,2
20,6,RB Player 6,TEAM6,RB,22.5,14.5,25,9,3
21,1,TE Player 1,TEAM1,TE,18.4,14.4,161,4,1
22,8,WR Player 8,TEAM8,WR,20.3,14.3,87,11,2
23,9,RB Player 9,TEAM9,RB,22.2,14.2,31,12,3
24,7,WR Player 7,TEAM7,WR,20.0,14.0,90,10,2
25,6,WR Player 6,TEAM6,WR,19.9,13.9,94,9,2
26,8,RB Player 8,TEAM8,RB,21.8,13.8,36,11,3
27,9,QB Player 9,TEAM9,QB,25.7,13.7,10,12,4
28,10,WR Player 10,TEAM10,WR,19.7,13.7,99,13,2
29,11,WR Player 11,TEAM11,WR,19.5,13.5,99,14,2
30,10,RB Player 10,TEAM10,RB,21.4,13.4,32,13,3
31,11,RB Player 11,TEAM11,RB,21.4,13.4,39,14,3
32,13,RB Player 13,TEAM13,RB,21.2,13.2,33,16,3
33,9,WR Player 9,TEAM9,WR,19.1,13.1,89,12,2
34,12,WR Player 12,TEAM12,WR,19.1,13.1,98,15,2
35,12,RB Player 12,TEAM12,RB,21.0,13.0,31,15,3
36,13,WR Player 13,TEAM13,WR,18.7,12.7,96,16,2
37,2,TE Player 2,TEAM2,TE,16.7,12.7,163,5,2
38,14,WR Player 14,TEAM14,WR,18.5,12.5,97,17,2
39,10,QB Player 10,TEAM10,QB,24.4,12.4,10,13,4
40,15,WR Player 15,TEAM15,WR,18.4,12.4,104,4,2
41,16,WR Player 16,TEAM16,WR,18.3,12.3,100,5,2
42,14,RB Player 14,TEAM14,RB,20.0,12.0,41,17,4
43,15,RB Player 15,TEAM15,RB,19.9,11.9,36,4,4
44,20,WR Player 20,TEAM20,WR,17.9,11.9,102,9,2
45,16,RB Player 16,TEAM16,RB,19.8,11.8,36,5,4
46,19,WR Player 19,TEAM19,WR,17.7,11.7,104,8,2
47,17,RB Player 17,TEAM17,RB,19.5,11.5,45,6,4
48,11,QB Player 11,TEAM11,QB,23.4,11.4,13,14,4
49,18,WR Player 18,TEAM18,WR,17.3,11.3,100,7,2
50,12,QB Player 12,TEAM12,QB,23.2,11.2,15,15,4
51,17,WR Player 17,TEAM17,WR,17.1,11.1,96,6,2
52,21,WR Player 21,TEAM21,WR,17.1,11.1,107,10,2
53,4,TE Player 4,TEAM4,TE,14.9,10.9,155,7,3
54,5,TE Player 5,TEAM5,TE,14.9,10.9,163,8,3
55,3,TE Player 3,TEAM3,TE,14.8,10.8,160,6,3
56,24,WR Player 24,TEAM24,WR,16.7,10.7,105,13,2
57,22,WR Player 22,TEAM22,WR,16.5,10.5,106,11,2
58,21,RB Player 21,TEAM21,RB,18.3,10.3,40,10,5
59,20,RB Player 20,TEAM20,RB,18.0,10.0,39,9,5
60,23,WR Player 23,TEAM23,WR,15.9,9.9,102,12,3
61,19,RB Player 19,TEAM19,RB,17.7,9.7,45,8,5
62,18,RB Player 18,TEAM18,RB,17.6,9.6,39,7,5
63,6,TE Player 6,TEAM6,TE,13.6,9.6,159,9,3
64,25,WR Player 25,TEAM25,WR,15.5,9.5,113,14,3
65,13,QB Player 13,TEAM13,QB,21.4,9.4,12,16,5
66,26,WR Player 26,TEAM26,WR,15.4,9.4,114,15,3
67,7,TE Player 7,TEAM7,TE,13.3,9.3,160,10,3
68,22,RB Player 22,TEAM22,RB,17.0,9.0,43,11,5
69,23,RB Player 23,TEAM23,RB,16.9,8.9,44,12,5
70,28,WR Player 28,TEAM28,WR,14.7,8.7,117,17,4
71,27,WR Player 27,TEAM27,WR,14.5,8.5,112,16,4
72,27,RB Player 27,TEAM27,RB,16.4,8.4,51,16,5
73,29,WR Player 29,TEAM29,WR,14.4,8.4,108,4,4
74,14,QB Player 14,TEAM14,QB,20.2,8.2,12,17,5
75,24,RB Player 24,TEAM24,RB,16.2,8.2,50,13,5
76,8,TE Player 8,TEAM8,TE,12.2,8.2,167,11,3
77,25,RB Player 25,TEAM25,RB,16.1,8.1,45,14,5
78,26,RB Player 26,TEAM26,RB,15.9,7.9,53,15,5
79,31,WR Player 31,TEAM31,WR,13.7,7.7,116,6,5
80,15,QB Player 15,TEAM15,QB,19.6,7.6,10,4,5
81,28,RB Player 28,TEAM28,RB,15.2,7.2,48,17,5
82,32,WR Player 32,TEAM32,WR,13.1,7.1,112,7,6
83,33,WR Player 33,TEAM1,WR,13.1,7.1,122,8,6
84,30,WR Player 30,TEAM30,WR,13.0,7.0,114,5,6
85,34,WR Player 34,TEAM2,WR,12.8,6.8,120,9,6
86,29,RB Player 29,TEAM29,RB,14.6,6.6,49,4,5
87,10,TE Player 10,TEAM10,TE,10.6,6.6,167,13,4
88,38,WR Player 38,TEAM6,WR,12.4,6.4,121,13,6
89,31,RB Player 31,TEAM31,RB,14.3,6.3,55,6,5
90,16,QB Player 16,TEAM16,QB,18.1,6.1,17,5,5
91,30,RB Player 30,TEAM30,RB,14.1,6.1,55,5,5
92,11,TE Player 11,TEAM11,TE,10.1,6.1,168,14,4
93,39,WR Player 39,TEAM7,WR,12.0,6.0,120,14,6
94,9,TE Player 9,TEAM9,TE,10.0,6.0,166,12,4
95,40,WR Player 40,TEAM8,WR,11.9,5.9,120,15,6
96,32,RB Player 32,TEAM32,RB,13.8,5.8,53,7,5
97,35,WR Player 35,TEAM3,WR,11.8,5.8,119,10,6
98,33,RB Player 33,TEAM1,RB,13.6,5.6,60,8,5
99,36,WR Player 36,TEAM4,WR,11.6,5.6,124,11,6
100,37,WR Player 37,TEAM5,WR,11.3,5.3,125,12,6
101,34,RB Player 34,TEAM2,RB,12.9,4.9,53,9,5
102,12,TE Player 12,TEAM12,TE,8.9,4.9,168,15,4
103,35,RB Player 35,TEAM3,RB,12.8,4.8,61,10,5
104,41,WR Player 41,TEAM9,WR,10.6,4.6,130,16,7
105,43,WR Player 43,TEAM11,WR,10.6,4.6,128,4,7
106,17,QB Player 17,TEAM17,QB,16.5,4.5,14,6,5
107,42,WR Player 42,TEAM10,WR,10.4,4.4,131,17,7
108,36,RB Player 36,TEAM4,RB,12.3,4.3,58,11,5
109,38,RB Player 38,TEAM6,RB,12.3,4.3,62,13,5
110,13,TE Player 13,TEAM13,TE,8.3,4.3,164,16,4
111,45,WR Player 45,TEAM13,WR,10.2,4.2,129,6,7
112,44,WR Player 44,TEAM12,WR,10.1,4.1,123,5,7
113,37,RB Player 37,TEAM5,RB,11.9,3.9,59,12,5
114,47,WR Player 47,TEAM15,WR,9.1,3.1,135,8,8
115,46,WR Player 46,TEAM14,WR,9.0,3.0,133,7,8
116,48,WR Player 48,TEAM16,WR,9.0,3.0,133,9,8
117,51,WR Player 51,TEAM19,WR,8.9,2.9,140,12,8
118,18,QB Player 18,TEAM18,QB,14.7,2.7,21,7,6
119,14,TE Player 14,TEAM14,TE,6.7,2.7,175,17,5
120,19,QB Player 19,TEAM19,QB,14.6,2.6,19,8,6
121,40,RB Player 40,TEAM8,RB,10.4,2.4,64,15,6
122,52,WR Player 52,TEAM20,WR,8.3,2.3,136,13,9
123,41,RB Player 41,TEAM9,RB,10.2,2.2,60,16,6
124,39,RB Player 39,TEAM7,RB,10.1,2.1,67,14,6
125,15,TE Player 15,TEAM15,TE,6.0,2.0,171,4,5
126,49,WR Player 49,TEAM17,WR,7.9,1.9,133,10,9
127,50,WR Player 50,TEAM18,WR,7.9,1.9,136,11,9
128,42,RB Player 42,TEAM10,RB,9.8,1.8,68,17,6
129,20,QB Player 20,TEAM20,QB,13.7,1.7,17,9,6
130,43,RB Player 43,TEAM11,RB,9.5,1.5,69,4,6
131,16,TE Player 16,TEAM16,TE,5.5,1.5,167,5,5
132,55,WR Player 55,TEAM23,WR,7.4,1.4,136,16,10
133,54,WR Player 54,TEAM22,WR,7.3,1.3,135,15,10
134,46,RB Player 46,TEAM14,RB,9.1,1.1,71,7,6
135,45,RB Player 45,TEAM13,RB,9.0,1.0,69,6,6
136,53,WR Player 53,TEAM21,WR,7.0,1.0,132,14,10
137,44,RB Player 44,TEAM12,RB,8.9,0.9,69,5,6
138,21,QB Player 21,TEAM21,QB,12.5,0.5,17,10,6
139,56,WR Player 56,TEAM24,WR,6.4,0.4,141,17,11
140,59,WR Player 59,TEAM27,WR,6.4,0.4,138,6,11
141,61,WR Player 61,TEAM29,WR,6.4,0.4,143,8,11
142,57,WR Player 57,TEAM25,WR,6.2,0.2,141,4,11
143,17,TE Player 17,TEAM17,TE,4.0,-0.0,174,6,6
144,48,RB Player 48,TEAM16,RB,7.9,-0.1,67,9,7
145,58,WR Player 58,TEAM26,WR,5.9,-0.1,142,5,11
146,22,QB Player 22,TEAM22,QB,11.6,-0.4,18,11,6
147,18,TE Player 18,TEAM18,TE,3.6,-0.4,172,7,6
148,47,RB Player 47,TEAM15,RB,7.3,-0.7,69,8,7
149,62,WR Player 62,TEAM30,WR,5.3,-0.7,147,9,12
150,63,WR Player 63,TEAM31,WR,5.1,-0.9,147,10,12
151,19,TE Player 19,TEAM19,TE,2.8,-1.2,180,8,6
152,49,RB Player 49,TEAM17,RB,6.7,-1.3,72,10,7
153,60,WR Player 60,TEAM28,WR,4.6,-1.4,147,7,13
154,64,WR Player 64,TEAM32,WR,4.6,-1.4,145,11,13
155,50,RB Player 50,TEAM18,RB,6.3,-1.7,73,11,7
156,23,QB Player 23,TEAM23,QB,10.2,-1.8,28,12,6
157,53,RB Player 53,TEAM21,RB,6.2,-1.8,81,14,7
158,55,RB Player 55,TEAM23,RB,6.0,-2.0,77,16,7
159,66,WR Player 66,TEAM2,WR,3.8,-2.2,145,13,14
160,51,RB Player 51,TEAM19,RB,5.6,-2.4,74,12,7
161,65,WR Player 65,TEAM1,WR,3.6,-2.4,151,12,14
162,52,RB Player 52,TEAM20,RB,5.5,-2.5,74,13,7
163,20,TE Player 20,TEAM20,TE,1.5,-2.5,173,9,6
164,71,WR Player 71,TEAM7,WR,3.4,-2.6,154,4,14
165,68,WR Player 68,TEAM4,WR,3.3,-2.7,156,15,14
166,24,QB Player 24,TEAM24,QB,9.1,-2.9,28,13,6
167,67,WR Player 67,TEAM3,WR,3.1,-2.9,156,14,14
168,72,WR Player 72,TEAM8,WR,3.0,-3.0,160,5,14
169,69,WR Player 69,TEAM5,WR,2.9,-3.1,157,16,14
