overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,34.3,22.3,4,4,1
2,2,QB Player 2,TEAM2,QB,34.1,22.1,3,5,1
3,3,QB Player 3,TEAM3,QB,32.0,20.0,3,6,2
4,4,QB Player 4,TEAM4,QB,31.5,19.5,0,7,2
5,5,QB Player 5,TEAM5,QB,30.3,18.3,2,8,2
6,6,QB Player 6,TEAM6,QB,29.6,17.6,1,9,2
7,1,RB Player 1,TEAM1,RB,25.3,17.3,26,4,1
8,2,RB Player 2,TEAM2,RB,24.8,16.8,30,5,1
9,3,RB Player 3,TEAM3,RB,24.7,16.7,23,6,1
10,7,QB Player 7,TEAM7,QB,28.3,16.3,5,10,2
11,1,WR Player 1,TEAM1,WR,22.3,16.3,90,4,1
12,4,WR Player 4,TEAM4,WR,22.0,16.0,91,7,1
13,4,RB Player 4,TEAM4,RB,23.9,15.9,24,7,2
14,2,WR Player 2,TEAM2,WR,21.9,15.9,85,5,1
15,5,RB Player 5,TEAM5,RB,23.7,15.7,30,8,2
16,3,WR Player 3,TEAM3,WR,21.5,15.5,86,6,1
17,7,RB Player 7,TEAM7,RB,23.2,15.2,26,10,2
18,8,QB Player 8,TEAM8,QB,27.0,15.0,6,11,2
19,8,RB Player 8,TEAM8,RB,22.9,14.9,29,11,2
20,6,WR Player 6,TEAM6,WR,20.8,14.8,91,9,2
21,6,RB Player 6,TEAM6,RB,22.5,14.5,33,9,2
22,5,WR Player 5,TEAM5,WR,20.4,14.4,85,8,2
23,1,TE Player 1,TEAM1,TE,18.3,14.3,162,4,1
24,7,WR Player 7,TEAM7,WR,20.2,14.2,94,10,2
25,9,WR Player 9,TEAM9,WR,20.2,14.2,90,12,2
26,9,QB Player 9,TEAM9,QB,26.1,14.1,4,12,2
27,10,WR Player 10,TEAM10,WR,20.1,14.1,95,13,2
28,10,RB Player 10,TEAM10,RB,22.0,14.0,30,13,2
29,8,WR Player 8,TEAM8,WR,20.0,14.0,92,11,2
30,9,RB Player 9,TEAM9,RB,21.8,13.8,29,12,2
31,11,RB Player 11,TEAM11,RB,21.3,13.3,37,14,2
32,11,WR Player 11,TEAM11,WR,19.2,13.2,95,14,3
33,10,QB Player 10,TEAM10,QB,25.0,13.0,10,13,2
34,12,WR Player 12,TEAM12,WR,18.9,12.9,98,15,3
35,14,WR Player 14,TEAM14,WR,18.8,12.8,96,17,3
36,13,WR Player 13,TEAM13,WR,18.7,12.7,94,16,3
37,2,TE Player 2,TEAM2,TE,16.7,12.7,159,5,1
38,12,RB Player 12,TEAM12,RB,20.4,12.4,35,15,3
39,14,RB Player 14,TEAM14,RB,20.3,12.3,41,17,3
40,15,RB Player 15,TEAM15,RB,20.2,12.2,40,4,3
41,17,RB Player 17,TEAM17,RB,20.2,12.2,44,6,3
42,17,WR Player 17,TEAM17,WR,18.0,12.0,106,6,4
43,18,WR Player 18,TEAM18,WR,18.0,12.0,104,7,4
44,13,RB Player 13,TEAM13,RB,19.9,11.9,39,16,3
45,16,WR Player 16,TEAM16,WR,17.8,11.8,102,5,4
46,11,QB Player 11,TEAM11,QB,23.7,11.7,15,14,2
47,3,TE Player 3,TEAM3,TE,15.6,11.6,159,6,1
48,15,WR Player 15,TEAM15,WR,17.5,11.5,94,4,4
49,16,RB Player 16,TEAM16,RB,19.4,11.4,41,5,3
50,19,WR Player 19,TEAM19,WR,17.2,11.2,105,8,4
