overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,35.5,23.5,2,4,1
2,2,QB Player 2,TEAM2,QB,34.1,22.1,7,5,1
3,3,QB Player 3,TEAM3,QB,32.6,20.6,7,6,1
4,4,QB Player 4,TEAM4,QB,31.6,19.6,8,7,1
5,5,QB Player 5,TEAM5,QB,30.3,18.3,1,8,1
6,6,QB Player 6,TEAM6,QB,29.4,17.4,8,9,1
7,1,RB Player 1,TEAM1,RB,25.3,17.3,28,4,1
8,4,RB Player 4,TEAM4,RB,25.1,17.1,26,7,1
9,2,RB Player 2,TEAM2,RB,24.9,16.9,30,5,1
10,3,RB Player 3,TEAM3,RB,24.6,16.6,25,6,1
11,7,QB Player 7,TEAM7,QB,28.5,16.5,11,10,1
12,1,WR Player 1,TEAM1,WR,22.0,16.0,89,4,1
13,6,RB Player 6,TEAM6,RB,23.7,15.7,30,9,2
14,4,WR Player 4,TEAM4,WR,21.3,15.3,86,7,2
15,5,WR Player 5,TEAM5,WR,21.2,15.2,94,8,2
16,2,WR Player 2,TEAM2,WR,21.1,15.1,82,5,2
17,9,RB Player 9,TEAM9,RB,23.0,15.0,35,12,3
18,3,WR Player 3,TEAM3,WR,20.9,14.9,84,6,2
19,1,TE Player 1,TEAM1,TE,18.9,14.9,155,4,1
20,6,WR Player 6,TEAM6,WR,20.8,14.8,95,9,2
21,8,QB Player 8,TEAM8,QB,26.7,14.7,11,11,1
22,5,RB Player 5,TEAM5,RB,22.6,14.6,24,8,3
23,7,RB Player 7,TEAM7,RB,22.6,14.6,32,10,3
24,8,WR Player 8,TEAM8,WR,20.6,14.6,92,11,2
25,11,WR Player 11,TEAM11,WR,20.5,14.5,100,14,2
26,8,RB Player 8,TEAM8,RB,22.4,14.4,30,11,3
27,9,WR Player 9,TEAM9,WR,20.3,14.3,94,12,2
28,7,WR Player 7,TEAM7,WR,20.2,14.2,94,10,2
29,10,RB Player 10,TEAM10,RB,22.0,14.0,29,13,3
30,12,WR Player 12,TEAM12,WR,20.0,14.0,95,15,2
31,2,TE Player 2,TEAM2,TE,18.0,14.0,162,5,1
32,9,QB Player 9,TEAM9,QB,25.7,13.7,4,12,1
33,11,RB Player 11,TEAM11,RB,21.4,13.4,31,14,3
34,12,RB Player 12,TEAM12,RB,21.2,13.2,33,15,3
35,10,WR Player 10,TEAM10,WR,19.2,13.2,89,13,3
36,13,WR Player 13,TEAM13,WR,19.0,13.0,92,16,3
37,13,RB Player 13,TEAM13,RB,20.8,12.8,42,16,3
38,10,QB Player 10,TEAM10,QB,24.6,12.6,11,13,1
39,14,WR Player 14,TEAM14,WR,18.6,12.6,99,17,3
40,16,RB Player 16,TEAM16,RB,20.5,12.5,36,5,3
41,3,TE Player 3,TEAM3,TE,16.5,12.5,157,6,1
