overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,34.8,22.8,-2,4,1
2,2,QB Player 2,TEAM2,QB,34.6,22.6,1,5,1
3,3,QB Player 3,TEAM3,QB,33.9,21.9,-2,6,1
4,4,QB Player 4,TEAM4,QB,31.4,19.4,6,7,2
5,5,QB Player 5,TEAM5,QB,31.0,19.0,8,8,2
6,6,QB Player 6,TEAM6,QB,29.4,17.4,6,9,2
7,2,RB Player 2,TEAM2,RB,24.8,16.8,25,5,1
8,3,RB Player 3,TEAM3,RB,24.8,16.8,29,6,1
9,5,RB Player 5,TEAM5,RB,24.6,16.6,25,8,1
10,7,QB Player 7,TEAM7,QB,28.4,16.4,8,10,2
11,1,RB Player 1,TEAM1,RB,24.3,16.3,29,4,1
12,1,WR Player 1,TEAM1,WR,22.3,16.3,83,4,1
13,3,WR Player 3,TEAM3,WR,21.9,15.9,89,6,1
14,8,QB Player 8,TEAM8,QB,27.7,15.7,7,11,2
15,2,WR Player 2,TEAM2,WR,21.5,15.5,81,5,1
16,6,WR Player 6,TEAM6,WR,21.4,15.4,91,9,1
17,5,WR Player 5,TEAM5,WR,21.1,15.1,85,8,1
18,7,RB Player 7,TEAM7,RB,22.6,14.6,33,10,2
19,8,RB Player 8,TEAM8,RB,22.5,14.5,30,11,2
20,4,WR Player 4,TEAM4,WR,20.5,14.5,93,7,2
21,8,WR Player 8,TEAM8,WR,20.5,14.5,88,11,2
22,10,RB Player 10,TEAM10,RB,22.4,14.4,32,13,2
23,6,RB Player 6,TEAM6,RB,22.3,14.3,25,9,2
24,4,RB Player 4,TEAM4,RB,22.2,14.2,25,7,2
25,2,TE Player 2,TEAM2,TE,18.0,14.0,158,5,1
26,12,RB Player 12,TEAM12,RB,21.9,13.9,32,15,2
27,7,WR Player 7,TEAM7,WR,19.6,13.6,88,10,3
28,1,TE Player 1,TEAM1,TE,17.6,13.6,160,4,1
29,11,WR Player 11,TEAM11,WR,19.5,13.5,98,14,3
30,10,WR Player 10,TEAM10,WR,19.4,13.4,97,13,3
31,9,RB Player 9,TEAM9,RB,21.2,13.2,35,12,2
32,9,WR Player 9,TEAM9,WR,19.2,13.2,96,12,3
33,11,RB Player 11,TEAM11,RB,21.1,13.1,31,14,2
34,12,WR Player 12,TEAM12,WR,19.0,13.0,95,15,3
35,9,QB Player 9,TEAM9,QB,24.8,12.8,10,12,3
